ID,Area_km2,Slope_perc,BasinLength_km,Z_max_masl,Z_min_masl,Z_ave_masl,CurveNumber,ManningCoeff,Paved
CUE-AQ_01,0.519,26.65240165,1.058066,5130,4848,4989,76.19255635,0.031373406,TRUE
CUE-AQ_02,0.251,76.03679336,0.662837,5268,4764,5016,78.24218067,0.032217369,FALSE
CUE-AQ_03,0.157,94.89764906,0.483679,5197,4738,4967.5,77.18766381,0.031783156,TRUE
CUE-AQ_04,5.217,31.45402429,3.265083,5545,4518,5031.5,82.35628167,0.03391141,FALSE
CUE-AQ_05,2.856,32.82953216,3.05213,5441,4439,4940,80.81163725,0.03327538,TRUE
CUE-AQ_06,0.71,54.20429643,2.064412,5444,4325,4884.5,80.8561943,0.033293727,FALSE
CUE-AQ_07,2.862,54.94084485,2.453548,5610,4262,4936,83.32168443,0.034308929,TRUE
CUE-AQ_08,1.052,55.90811613,1.829788,5234,4211,4722.5,77.73720077,0.032009436,FALSE
CUE-AQ_09,0.325,78.39988822,0.901787,4896,4189,4542.5,72.71710641,0.029942338,TRUE
CUE-AQ_10,0.652,62.96853519,1.54204,5091,4120,4605.5,75.6133147,0.031134894,FALSE
CUE-AQ_11,0.538,88.51498662,0.902672,4898,4099,4498.5,72.74681111,0.029954569,TRUE
CUE-AQ_12,13.191,18.33489003,7.352103,5355,4007,4681,79.53433514,0.032749432,FALSE
CUE-AQ_13,1.077,53.28404701,1.766007,4915,3974,4444.5,72.99930107,0.030058536,TRUE
CUE-AQ_14,0.357,52.41752189,1.163733,4540,3930,4235,67.42966975,0.027765158,FALSE
CUE-AQ_15,11.318,26.73723135,6.788287,5723,3908,4815.5,85,0.035,TRUE
CUE-AQ_16,33.246,12.40803769,11.202416,5264,3874,4569,78.18277127,0.032192906,FALSE
CUE-AQ_17,0.376,64.29152657,1.042128,4461,3791,4126,66.25633409,0.02728202,TRUE
CUE-AQ_18,0.485,50.1631538,1.618718,4600,3788,4194,68.32081076,0.028132099,FALSE
CUE-AQ_19,0.83,47.08798405,1.915563,4668,3766,4217,69.33077057,0.028547964,TRUE
CUE-AQ_20,0.45,46.79795595,1.67315,4465,3682,4073.5,66.31574349,0.027306483,FALSE
CUE-AQ_21,0.731,90.99574207,1.134119,4692,3660,4176,69.68722698,0.028694741,TRUE
CUE-AQ_22,1.345,74.49280596,1.539746,4737,3590,4163.5,70.35558274,0.028969946,FALSE
CUE-AQ_23,0.884,75.40308086,1.566249,4737,3556,4146.5,70.35558274,0.028969946,TRUE
CUE-AQ_24,3.383,47.24594272,2.990733,4895,3482,4188.5,72.70225406,0.029936222,FALSE
CUE-AQ_25,0.541,34.42296577,1.167825,3861,3459,3660,57.34492399,0.023612616,TRUE
CUE-AQ_26,10.984,24.10828076,8.358124,5464,3449,4456.5,81.15324131,0.033416041,FALSE
CUE-AQ_27,0.39,49.11980828,0.907984,3847,3401,3624,57.13699109,0.023526996,TRUE
CUE-AQ_28,0.375,71.19475908,1.134915,4163,3355,3759,61.83033374,0.025459549,FALSE
CUE-AQ_29,0.256,83.91139613,0.853281,4065,3349,3707,60.37480342,0.024860213,TRUE
CUE-AQ_30,61.41,13.447004,15.944072,5465,3321,4393,81.16809366,0.033422156,FALSE
CUE-AQ_31,18.619,16.10385171,9.208977,4770,3287,4028.5,70.84571029,0.029171763,TRUE
CUE-AQ_32,1.523,41.92919675,2.644935,4382,3273,3827.5,65.08299843,0.026798882,FALSE
